"Service Request Description","Department","Block/Address","Street","Ward","Method Received","Created Date"
"Garbage Not Collected","Environmental Services","16##","HOWARD","WARD 3","Phone","JAN 24, 2024 03:34:30 PM"
"Garbage Not Collected","Environmental Services","18##","PILLETTE","WARD 5","Phone","JAN 25, 2024 10:14:01 AM"
"Garbage Not Collected","Environmental Services","8##","WINDSOR","WARD 3","Phone","FEB 21, 2024 11:09:35 AM"
"Garbage Not Collected","Environmental Services","47##","RIVERSIDE","WARD 6","E-Mail","FEB 22, 2024 12:38:01 PM"
"Garbage Not Collected","Environmental Services","12##","WIGLE","WARD 2","Phone","JAN 02, 2024 02:20:29 PM"
"Garbage Not Collected","Environmental Services","54##","TECUMSEH","WARD 8","Phone","JAN 25, 2024 10:18:01 AM"
"Garbage Not Collected","Environmental Services","9##","OAK","WARD 3","Phone","JAN 25, 2024 12:49:48 PM"
"Garbage Not Collected","Environmental Services","23##","MAITLAND","WARD 7","Phone","JAN 25, 2024 03:33:46 PM"
"Garbage Not Collected","Environmental Services","12##","KILDARE","WARD 4","Citizen Mobile Apps","JAN 25, 2024 04:12:11 PM"
"Garbage Not Collected","Environmental Services","50##","TECUMSEH","WARD 8","Phone","JAN 26, 2024 08:11:49 AM"
"Garbage Not Collected","Environmental Services","5##","JOHN HARVEY","WARD 9","Phone","JAN 02, 2024 04:01:14 PM"
"Garbage Not Collected","Environmental Services","7##","CATARAQUI","WARD 4","Phone","JAN 26, 2024 08:38:04 AM"
"Garbage Not Collected","Environmental Services","2##","FAIRVIEW","WARD 6","Phone","FEB 23, 2024 01:11:54 PM"
"Garbage Not Collected","Environmental Services","13##","PARTINGTON","WARD 2","Citizen Mobile Apps","FEB 23, 2024 08:01:01 PM"
"Garbage Not Collected","Environmental Services","2##","HAMPTON","WARD 9","Phone","JAN 02, 2024 12:03:26 PM"
"Garbage Not Collected","Environmental Services","15##","CURRY","WARD 10","Citizen Mobile Apps","MAR 13, 2024 03:10:23 PM"
"Garbage Not Collected","Environmental Services","5##","COMPTON","WARD 9","Phone","JAN 29, 2024 02:49:40 PM"
"Garbage Not Collected","Environmental Services","27##","EVERTS","WARD 10","Phone","JAN 29, 2024 03:46:18 PM"
"Garbage Not Collected","Environmental Services","34##","BARRYMORE","WARD 2","Citizen Mobile Apps","JAN 29, 2024 06:01:57 PM"
"Garbage Not Collected","Environmental Services","29##","ST PATRICK'S","WARD 10","Phone","MAR 11, 2024 01:44:18 PM"
"Garbage Not Collected","Environmental Services","25##","ASKIN","WARD 10","Phone","MAR 12, 2024 02:21:03 PM"
"Garbage Not Collected","Environmental Services","13##","GLADSTONE","WARD 4","Phone","MAR 12, 2024 03:59:53 PM"
"Garbage Not Collected","Environmental Services","3##","AYLMER","WARD 4","Phone","MAR 13, 2024 10:02:03 AM"
"Garbage Not Collected","Environmental Services","9##","ISABELLE","WARD 6","Citizen Mobile Apps","JAN 11, 2024 05:55:37 PM"
"Garbage Not Collected","Environmental Services","9##","GLADSTONE","WARD 4","Phone","MAR 13, 2024 11:10:43 AM"
"Garbage Not Collected","Environmental Services","22##","CHURCH","WARD 3","Phone","MAR 12, 2024 08:24:04 AM"
"Garbage Not Collected","Environmental Services","37##","NORTH SERVICE","WARD 5","Citizen Mobile Apps","JAN 11, 2024 10:57:56 PM"
"Garbage Not Collected","Environmental Services","9##","ISABELLE","WARD 6","E-Mail","JAN 12, 2024 08:18:10 AM"
"Garbage Not Collected","Environmental Services","110##","TECUMSEH","WARD 7","Phone","FEB 08, 2024 01:47:47 PM"
"Garbage Not Collected","Environmental Services","23##","UNIVERSITY","WARD 2","Phone","FEB 12, 2024 11:47:27 AM"
"Garbage Not Collected","Environmental Services","9##","PARTINGTON","WARD 2","Phone","FEB 12, 2024 04:00:39 PM"
"Garbage Not Collected","Environmental Services","22##","DOMINION","WARD 10","Phone","FEB 27, 2024 08:26:35 AM"
"Garbage Not Collected","Environmental Services","20##","DAYTONA","WARD 10","Phone","FEB 26, 2024 08:38:56 AM"
"Garbage Not Collected","Environmental Services","12##","WYANDOTTE","WARD 2","Phone","FEB 26, 2024 03:41:58 PM"
"Garbage Not Collected","Environmental Services","10##","LENA","WARD 2","Phone","FEB 06, 2024 09:18:24 AM"
"Garbage Not Collected","Environmental Services","34##","WOODWARD","WARD 9","Phone","FEB 06, 2024 01:49:40 PM"
"Garbage Not Collected","Environmental Services","52##","WYANDOTTE","WARD 6","Phone","FEB 08, 2024 08:07:45 AM"
"Garbage Not Collected","Environmental Services","8##","VILLAIRE","WARD 6","Phone","FEB 08, 2024 08:09:42 AM"
"Garbage Not Collected","Environmental Services","23##","MARK","WARD 10","Phone","MAR 11, 2024 11:10:30 AM"
"Garbage Not Collected","Environmental Services","26##","ASKIN","WARD 10","Phone","MAR 11, 2024 03:07:14 PM"
"Garbage Not Collected","Environmental Services","23##","GLENWOOD","WARD 10","Phone","MAR 11, 2024 03:53:52 PM"
"Garbage Not Collected","Environmental Services","32##","DANDURAND","WARD 1","Phone","MAR 12, 2024 11:19:50 AM"
"Garbage Not Collected","Environmental Services","42##","CANBERRA","WARD 9","Phone","MAR 13, 2024 09:43:57 AM"
"Garbage Not Collected","Environmental Services","98##","LYNNGROVE","WARD 7","Phone","MAR 14, 2024 01:48:46 PM"
"Garbage Not Collected","Environmental Services","31##","ELMWOOD","WARD 7","Phone","MAR 14, 2024 03:13:27 PM"
"Garbage Not Collected","Environmental Services","31##","SUSSEX","WARD 8","Citizen Mobile Apps","MAR 14, 2024 09:20:12 PM"
"Garbage Not Collected","Environmental Services","19##","FORD","WARD 8","Phone","FEB 29, 2024 11:35:49 AM"
"Garbage Not Collected","Environmental Services","2##","JOSEPHINE","WARD 2","Phone","FEB 27, 2024 12:39:37 PM"
"Garbage Not Collected","Environmental Services","118##","COBBLESTONE","WARD 7","Phone","FEB 29, 2024 01:20:54 PM"
"Garbage Not Collected","Environmental Services","53##","QUEEN ELIZABETH","WARD 8","Phone","FEB 29, 2024 02:54:02 PM"
"Garbage Not Collected","Environmental Services","31##","SUSSEX","WARD 8","Citizen Mobile Apps","FEB 29, 2024 06:42:47 PM"
"Garbage Not Collected","Environmental Services","12##","DEVONSHIRE","WARD 4","Web Intake","FEB 29, 2024 08:24:25 PM"
"Garbage Not Collected","Environmental Services","32##","WACHNA","WARD 8","Phone","MAR 01, 2024 09:33:52 AM"
"Garbage Not Collected","Environmental Services","31##","WACHNA","WARD 8","Phone","MAR 01, 2024 09:43:54 AM"
"Garbage Not Collected","Environmental Services","1##","MCKAY","WARD 2","Phone","FEB 21, 2024 12:06:11 PM"
"Garbage Not Collected","Environmental Services","46##","UNICORN","WARD 9","Phone","FEB 21, 2024 12:56:48 PM"
"Garbage Not Collected","Environmental Services","38##","MATCHETT","WARD 2","Phone","FEB 21, 2024 01:37:17 PM"
"Garbage Not Collected","Environmental Services","8##","MARENTETTE","WARD 4","Phone","FEB 21, 2024 02:21:48 PM"
"Garbage Not Collected","Environmental Services","12##","MARIE","WARD 10","Phone","FEB 21, 2024 03:38:47 PM"
"Garbage Not Collected","Environmental Services","13##","DOUGALL","WARD 3","Citizen Mobile Apps","FEB 21, 2024 06:44:59 PM"
"Garbage Not Collected","Environmental Services","5##","CHARLES","WARD 10","Phone","FEB 22, 2024 10:00:05 AM"
"Garbage Not Collected","Environmental Services","7##","OUELLETTE","WARD 3","Phone","FEB 12, 2024 10:18:18 AM"
"Garbage Not Collected","Environmental Services","1##","HANNA","WARD 3","Phone","FEB 13, 2024 03:07:29 PM"
"Garbage Not Collected","Environmental Services","12##","PELISSIER","WARD 3","Phone","FEB 14, 2024 08:25:58 AM"
"Garbage Not Collected","Environmental Services","3##","AYLMER","WARD 4","Phone","FEB 14, 2024 08:54:25 AM"
"Garbage Not Collected","Environmental Services","14##","OLIVE","WARD 8","Phone","FEB 14, 2024 11:48:27 AM"
"Garbage Not Collected","Environmental Services","15##","BLAIRWOOD","WARD 9","Phone","FEB 14, 2024 02:20:14 PM"
"Garbage Not Collected","Environmental Services","54##","LYNDON","WARD 8","Phone","MAR 01, 2024 10:02:07 AM"
"Garbage Not Collected","Environmental Services","54##","LYNDON","WARD 8","Phone","MAR 01, 2024 10:06:14 AM"
"Garbage Not Collected","Environmental Services","54##","LYNDON","WARD 8","Phone","MAR 01, 2024 10:30:27 AM"
"Garbage Not Collected","Environmental Services","31##","WACHNA","WARD 8","Phone","MAR 01, 2024 10:40:36 AM"
"Garbage Not Collected","Environmental Services","54##","LYNDON","WARD 8","Phone","MAR 01, 2024 11:29:10 AM"
"Garbage Not Collected","Environmental Services","2##","CAMPBELL","WARD 2","Phone","MAR 05, 2024 08:24:34 AM"
"Garbage Not Collected","Environmental Services","29##","ST PATRICK'S","WARD 10","Phone","MAR 05, 2024 09:47:33 AM"
"Garbage Not Collected","Environmental Services","7##","PIERRE","WARD 4","Phone","MAR 05, 2024 10:01:41 AM"
"Garbage Not Collected","Environmental Services","1##","CURRY","WARD 2","Phone","MAR 05, 2024 11:04:26 AM"
"Garbage Not Collected","Environmental Services","12##","HALL","WARD 4","Phone","MAR 05, 2024 11:34:49 AM"
"Garbage Not Collected","Environmental Services","14##","BENJAMIN","WARD 4","Phone","MAR 05, 2024 01:26:08 PM"
"Garbage Not Collected","Environmental Services","29##","ST PATRICK'S","WARD 10","Phone","MAR 05, 2024 09:53:33 AM"
"Garbage Not Collected","Environmental Services","9##","LEMONWOOD","WARD 1","Phone","FEB 14, 2024 03:55:33 PM"
"Garbage Not Collected","Environmental Services","15##","DOUGALL","WARD 3","Citizen Mobile Apps","JAN 27, 2024 05:58:05 PM"
"Garbage Not Collected","Environmental Services","11##","GOYEAU","WARD 3","Phone","JAN 30, 2024 10:37:54 AM"
"Garbage Not Collected","Environmental Services","0##","GILES","WARD 3","Phone","JAN 30, 2024 10:56:10 AM"
"Garbage Not Collected","Environmental Services","11##","DOUGALL","WARD 3","Phone","JAN 31, 2024 08:07:20 AM"
"Garbage Not Collected","Environmental Services","38##","TURNER","WARD 9","Phone","JAN 31, 2024 11:35:51 AM"
"Garbage Not Collected","Environmental Services","10##","PARTINGTON","WARD 2","Phone","JAN 31, 2024 12:40:44 PM"
"Garbage Not Collected","Environmental Services","12##","ROSSINI","WARD 5","Phone","FEB 01, 2024 09:29:48 AM"
"Garbage Not Collected","Environmental Services","16##","CLOVER","WARD 7","Phone","FEB 01, 2024 12:27:59 PM"
"Garbage Not Collected","Environmental Services","15##","LANGLOIS","WARD 4","Phone","FEB 01, 2024 02:37:36 PM"
"Garbage Not Collected","Environmental Services","3##","GENEVIEVE","WARD 6","Phone","FEB 01, 2024 03:28:11 PM"
"Garbage Not Collected","Environmental Services","8##","ARTHUR","WARD 5","E-Mail","FEB 02, 2024 08:10:11 AM"
"Garbage Not Collected","Environmental Services","32##","WACHNA","WARD 8","Phone","FEB 02, 2024 08:32:27 AM"
"Garbage Not Collected","Environmental Services","11##","ST PAUL","WARD 6","Phone","FEB 02, 2024 08:42:34 AM"
"Garbage Not Collected","Environmental Services","119##","THISTLEDOWN","WARD 7","Phone","FEB 01, 2024 10:26:22 AM"
"Garbage Not Collected","Environmental Services","24##","MAITLAND","WARD 7","Phone","FEB 05, 2024 09:15:09 AM"
"Garbage Not Collected","Environmental Services","54##","TECUMSEH","WARD 8","Phone","FEB 05, 2024 09:47:28 AM"
"Garbage Not Collected","Environmental Services","22##","DAYTONA","WARD 10","Citizen Mobile Apps","FEB 05, 2024 07:04:06 PM"
"Garbage Not Collected","Environmental Services","26##","LAUZON","WARD 8","Phone","FEB 29, 2024 12:22:13 PM"
"Garbage Not Collected","Environmental Services","31##","WACHNA","WARD 8","Phone","MAR 01, 2024 08:26:59 AM"
"Garbage Not Collected","Environmental Services","12##","AIRE","WARD 6","E-Mail","MAR 01, 2024 10:44:43 AM"
"Garbage Not Collected","Environmental Services","31##","SUSSEX","WARD 8","Phone","MAR 01, 2024 11:47:24 AM"
"Garbage Not Collected","Environmental Services","31##","WACHNA","WARD 8","Phone","MAR 01, 2024 01:18:35 PM"
"Garbage Not Collected","Environmental Services","31##","WACHNA","WARD 8","Phone","MAR 01, 2024 01:48:53 PM"
"Garbage Not Collected","Environmental Services","32##","WACHNA","WARD 8","Phone","MAR 01, 2024 01:52:58 PM"
"Garbage Not Collected","Environmental Services","35##","HALLEE","WARD 9","Phone","MAR 06, 2024 12:18:47 PM"
"Garbage Not Collected","Environmental Services","21##","CHILVER","WARD 4","Phone","MAR 07, 2024 09:40:46 AM"
"Garbage Not Collected","Environmental Services","2##","GENEVIEVE","WARD 6","Citizen Mobile Apps","MAR 07, 2024 02:36:20 PM"
"Garbage Not Collected","Environmental Services","31##","VIOLA","WARD 7","Phone","MAR 07, 2024 02:50:31 PM"
"Garbage Not Collected","Environmental Services","55##","QUEEN ELIZABETH","WARD 8","Phone","MAR 07, 2024 03:02:41 PM"
"Garbage Not Collected","Environmental Services","2##","GENEVIEVE","WARD 6","E-Mail","MAR 08, 2024 02:01:46 PM"
"Garbage Not Collected","Environmental Services","11##","GOYEAU","WARD 3","Phone","FEB 14, 2024 09:00:22 AM"
"Garbage Not Collected","Environmental Services","9##","PARTINGTON","WARD 2","E-Mail","FEB 14, 2024 12:59:16 PM"
"Garbage Not Collected","Environmental Services","16##","NIAGARA","WARD 4","Phone","FEB 15, 2024 12:14:19 PM"
"Garbage Not Collected","Environmental Services","10##","LENS","WARD 4","Phone","FEB 15, 2024 01:45:25 PM"
"Garbage Not Collected","Environmental Services","12##","HOMEDALE","WARD 6","Phone","FEB 15, 2024 03:47:00 PM"
"Garbage Not Collected","Environmental Services","9##","PARTINGTON","WARD 2","Phone","FEB 14, 2024 01:43:47 PM"
"Garbage Not Collected","Environmental Services","119##","BOULDER","WARD 7","Citizen Mobile Apps","JAN 25, 2024 07:06:16 PM"
"Garbage Not Collected","Environmental Services","34##","BARRYMORE","WARD 2","Citizen Mobile Apps","JAN 29, 2024 07:06:43 PM"
"Garbage Not Collected","Environmental Services","43##","GOLFCOURSE","WARD 1","Phone","JAN 30, 2024 03:39:27 PM"
"Garbage Not Collected","Environmental Services","4##","COUNTRY CLUB","WARD 1","Phone","JAN 31, 2024 10:16:55 AM"
"Garbage Not Collected","Environmental Services","119##","BOULDER","WARD 7","Citizen Mobile Apps","JAN 26, 2024 08:30:03 AM"
"Garbage Not Collected","Environmental Services","44##","TECUMSEH","WARD 5","Phone","FEB 22, 2024 10:36:31 AM"
"Garbage Not Collected","Environmental Services","8##","TUSCARORA","WARD 4","Phone","JAN 30, 2024 11:38:39 AM"
"Garbage Not Collected","Environmental Services","3##","BRIDGE","WARD 2","Phone","JAN 30, 2024 02:10:24 PM"
"Garbage Not Collected","Environmental Services","6##","HALL","WARD 4","Phone","JAN 30, 2024 02:12:25 PM"
"Garbage Not Collected","Environmental Services","8##","MARION","WARD 4","Phone","JAN 30, 2024 02:34:41 PM"
"Garbage Not Collected","Environmental Services","5##","OUELLETTE","WARD 3","Phone","FEB 02, 2024 10:23:51 AM"
"Garbage Not Collected","Environmental Services","102##","PEPPERVINE","WARD 7","Phone","FEB 02, 2024 11:04:22 AM"
"Garbage Not Collected","Environmental Services","4##","BRUCE","WARD 3","Citizen Mobile Apps","FEB 02, 2024 01:32:06 PM"
"Garbage Not Collected","Environmental Services","15##","VICTORIA","WARD 3","Phone","FEB 02, 2024 03:01:06 PM"
"Garbage Not Collected","Environmental Services","14##","LINCOLN","WARD 4","Phone","MAR 06, 2024 08:44:15 AM"
"Garbage Not Collected","Environmental Services","7##","CHURCH","WARD 3","Citizen Mobile Apps","MAR 06, 2024 01:39:46 PM"
"Garbage Not Collected","Environmental Services","40##","DOUGALL","WARD 1","Phone","MAR 06, 2024 02:10:08 PM"
"Garbage Not Collected","Environmental Services","38##","TULIP","WARD 9","Phone","FEB 05, 2024 08:18:25 AM"
"Garbage Not Collected","Environmental Services","67##","TECUMSEH","WARD 8","Phone","FEB 05, 2024 09:41:27 AM"
"Garbage Not Collected","Environmental Services","104##","SHENANDOAH","WARD 7","Phone","FEB 05, 2024 09:47:30 AM"
"Garbage Not Collected","Environmental Services","22##","ASKIN","WARD 10","Phone","FEB 05, 2024 10:13:50 AM"
"Garbage Not Collected","Environmental Services","12##","BRUCE","WARD 3","Citizen Mobile Apps","FEB 16, 2024 02:23:24 PM"
"Garbage Not Collected","Environmental Services","3##","CAMERON","WARD 2","Citizen Mobile Apps","FEB 19, 2024 06:38:12 PM"
"Garbage Not Collected","Environmental Services","6##","CARTIER","WARD 1","Phone","FEB 20, 2024 11:38:30 AM"
"Garbage Not Collected","Environmental Services","3##","MCKAY","WARD 2","Citizen Mobile Apps","FEB 21, 2024 07:57:15 AM"
"Garbage Not Collected","Environmental Services","3##","MCKAY","WARD 2","Phone","FEB 21, 2024 08:29:39 AM"
"Garbage Not Collected","Environmental Services","3##","MCKAY","WARD 2","Phone","FEB 21, 2024 08:49:55 AM"
"Garbage Not Collected","Environmental Services","13##","UNIVERSITY","WARD 2","Phone","FEB 21, 2024 09:14:08 AM"
"Garbage Not Collected","Environmental Services","4##","AYLMER","WARD 3","Phone","MAR 13, 2024 01:19:36 PM"
"Garbage Not Collected","Environmental Services","12##","DROUILLARD","WARD 5","Phone","MAR 13, 2024 02:34:08 PM"
"Garbage Not Collected","Environmental Services","18##","KILDARE","WARD 4","Phone","MAR 14, 2024 08:42:28 AM"
"Garbage Not Collected","Environmental Services","3##","MATTHEW BRADY","WARD 6","Phone","MAR 14, 2024 09:42:54 AM"
"Garbage Not Collected","Environmental Services","10##","IVANHILL","WARD 7","Phone","MAR 14, 2024 10:57:29 AM"
"Garbage Not Collected","Environmental Services","22##","DOMINION","WARD 10","Phone","MAR 14, 2024 01:08:27 PM"